wavelength (nm), epsilon_a (1e5 M^-1 cm^-1) (K. Mishra et al. Multiplexed whole-animal imaging with reversibly switchable optoacoustic proteins. 2020)
539.2640692640693, 0.025271385149804537
550.5194805194806, 0.025271385149804537
561.7748917748918, 0.03848024316109422
573.030303030303, 0.04864090316977854
584.891774891775, 0.07099435518888408
596.1471861471862, 0.0890490664350847
608.7260358688931, 0.1134513987966006
621.4285714285714, 0.18022145028224057
632.6839826839828, 0.2513460703430308
641.6883116883117, 0.303419452887538
650.6926406926407, 0.34787234042553195
659.6969696969697, 0.39105514546244025
665.3246753246754, 0.43508467216673896
676.5800865800866, 0.5788156752062525
673.1168831168832, 0.5188449848024317
682.0470006184291, 0.6617641585509583
690.987012987013, 0.7456621797655232
687.8354978354978, 0.6907946157186278
695.939393939394, 0.8076422058184975
703.2178932178933, 0.8702996092053842
713.4978354978355, 0.8797828918801562
717.5497835497836, 0.8198349978289188
721.976911976912, 0.7771602257924446
732.8571428571429, 0.7426139817629178
744.1125541125541, 0.7609031697785497
755.3679653679653, 0.7913851498046026
766.6233766233767, 0.7791923577941815
775.3061224489796, 0.7118416971651882
780.1298701298701, 0.6450716456795483
783.5064935064936, 0.5955384281372123
786.8831168831168, 0.5434650455927051
790.0346320346321, 0.47742075553625707
793.0735930735931, 0.4215371254884932
797.2380952380952, 0.35650890143291347
798.8888888888889, 0.3046895353886234
802.6406926406926, 0.265740338688667
806.8212739641311, 0.20163141244339688
812.9956709956709, 0.13195831524099
820.2741702741703, 0.08200173686495882
831.9047619047619, 0.0344159791576204
843.1601731601731, 0.014094659140251764
851.038961038961, 0.004950065132435899
614.8484848484849, 0.1468085106382977
668.1818181818182, 0.47507598784194527
