wavelength (nm), mu_s (mm^-1) Hanna Jonasson et al. 2022. Water and hemoglobin modulated gelatin-based phantoms to spectrally mimic inflamed tissue in the validation of biomedical techniques and the modeling of microdialysis data
451.05657891231965, 1.9677183586206892
454.3452613724214, 1.9399392689655168
456.31847084848255, 1.9179474896551723
460.2648898006047, 1.8878534758620686
462.23809927666576, 1.8739639310344827
464.8690452447472, 1.8566019999999996
469.47320068888973, 1.816476648275862
472.1041466569712, 1.7998863586206895
474.73509262505263, 1.781366965517241
477.366038593134, 1.7640050344827585
479.9969845612155, 1.7489580275862067
482.6279305292969, 1.7327535586206895
485.2588764973784, 1.7207931172413788
487.8898224654598, 1.704974468965517
490.52076843354126, 1.6910849241379307
493.1517144016227, 1.6771953793103447
495.78266036970416, 1.6633058344827583
498.4136063377856, 1.6494162896551723
501.044552305867, 1.6355267448275859
503.6754982739485, 1.6216372
506.3064442420299, 1.606590193103448
509.37588120479165, 1.5911573655172409
511.5683361781928, 1.5776536413793103
514.1992821462743, 1.5637640965517239
516.8302281143557, 1.5492958206896552
519.4611740824371, 1.5336700827586207
522.0921200505186, 1.5180443448275862
524.7230660186, 1.503576068965517
527.3540119866815, 1.4896865241379311
529.9849579547629, 1.4757969793103447
532.6159039228444, 1.4619074344827587
535.2468498909258, 1.4480178896551723
537.8777958590072, 1.4341283448275863
540.9472328217689, 1.4213962620689653
543.1396877951702, 1.4086641793103447
545.7706337632516, 1.396703737931034
548.401579731333, 1.3832000137931035
551.4710166940947, 1.3704679310344825
553.6634716674959, 1.3596649517241377
556.2944176355774, 1.3461612275862067
559.363854598339, 1.3334291448275861
561.5563095717403, 1.3226261655172413
564.6257465345019, 1.3102799034482757
566.818201507903, 1.299476924137931
569.8876384706648, 1.2871306620689653
572.0800934440659, 1.2763276827586205
575.1495304068277, 1.2639814206896554
577.3419853802288, 1.2531784413793101
581.2884043323511, 1.240832179310345
584.1824448972407, 1.225090695172414
587.8657692525546, 1.2130530896551726
591.8121882046768, 1.1991635448275861
595.7586071567989, 1.1852740000000002
599.7050261089212, 1.1713844551724137
603.6514450610432, 1.1574949103448278
607.5978640131655, 1.1436053655172413
611.5442829652876, 1.1304874620689653
615.4907019174098, 1.120456124137931
619.437120869532, 1.107338220689655
623.383539821654, 1.0973068827586205
627.3299587737763, 1.0865039034482757
631.2763777258984, 1.0764725655172414
635.2227966780206, 1.0672128689655174
639.1692156301427, 1.057953172413793
643.1156345822649, 1.048693475862069
647.0620535343871, 1.040205420689655
651.0084724865092, 1.0324890068965518
654.9548914386314, 1.0247725931034486
658.9013103907536, 1.0178278206896554
662.8477293428757, 1.0101114068965518
666.794148294998, 1.0039382758620694
670.74056724712, 0.9977651448275862
674.6869861992423, 0.9896629103448276
678.6334051513644, 0.985418882758621
682.5798241034865, 0.9792457517241382
686.5262430556087, 0.9757733655172416
690.4726620077308, 0.9699860551724138
696.1621245971908, 0.9615172172413797
700.9964458800566, 0.9560965103448278
704.9428648321789, 0.9530099448275866
728.17742737954, 0.9306131275862071
732.567797497034, 0.9283174206896554
736.514216449156, 0.9244592137931034
740.4606354012783, 0.9221442896551721
744.4070543534004, 0.919057724137931
748.3534733055226, 0.9159711586206898
752.2998922576448, 0.914427875862069
756.2463112097669, 0.9105696689655169
760.1927301618891, 0.909798027586207
764.1391491140113, 0.905939820689655
768.0855680661334, 0.905168179310345
772.0319870182556, 0.901309972413793
775.9784059703777, 0.900538331034483
779.9248249225, 0.8982234068965518
783.871243874622, 0.895908482758621
787.8176628267443, 0.8935935586206898
791.7640817788664, 0.8912786344827586
795.7105007309885, 0.8889637103448278
799.6569196831108, 0.8866487862068966
803.6033386352328, 0.8843338620689658
807.5497575873551, 0.8820189379310346
811.4961765394772, 0.8797040137931034
815.4425954915994, 0.8773890896551726
819.3890144437215, 0.8750741655172414
823.3354333958437, 0.8727592413793106
827.2818523479659, 0.8704443172413794
831.2282713000881, 0.8681293931034482
835.1746902522102, 0.8673577517241382
839.1211092043324, 0.8634995448275862
843.0675281564545, 0.8634995448275862
847.0139471085766, 0.8627279034482762
850.9603660606989, 0.8588696965517242
854.906785012821, 0.8588696965517242
858.8532039649432, 0.8588696965517242
862.7996229170653, 0.8565547724137934
866.7460418691875, 0.8542398482758622
870.6924608213096, 0.8534682068965522
874.6388797734319, 0.8496100000000002
878.585298725554, 0.8480667172413794
882.5317176776762, 0.8449801517241382
886.4781366297983, 0.8411219448275862
890.4245555819205, 0.838807020689655
894.3709745340426, 0.8357204551724138
898.3173934861649, 0.8310906068965518
902.263812438287, 0.8272323999999998
906.2102313904091, 0.8241458344827586
910.1566503425313, 0.8195159862068966
914.1030692946534, 0.8156577793103446
918.0494882467756, 0.8117995724137934
921.9959071988978, 0.8071697241379314
925.94232615102, 0.8033115172413794
929.8887451031421, 0.7986816689655174
933.8351640552643, 0.7948234620689654
937.7815830073864, 0.7901936137931034
941.7280019595086, 0.7855637655172414
945.6744209116308, 0.7809339172413794
949.620839863753, 0.774760786206897
953.5672588158751, 0.767044372413793
957.5136777679973, 0.7593279586206898
961.4600967201194, 0.7508399034482758
965.4065156722415, 0.7446667724137934
969.3529346243638, 0.7377220000000002
973.2993535764859, 0.7307772275862074
975.9302995445673, 0.7238324551724142
980.1398130934977, 0.7232151420689661
983.8231374488117, 0.7234466344827588
987.7695564009339, 0.7184309655172414
991.715975353056, 0.7161160413793102
995.6623943051782, 0.7118720137931036
466.7036625971143, 1.8406249999999997
709.1009988901221, 0.9500000000000002
713.0965593784683, 0.9453125000000004
716.648168701443, 0.9406250000000003
