wavelength (nm), mu_a (m^-1) (Hendrik Buiteveld. 1994. ptical properties of pure water)
458.37807569953907, 0.01495705485072183
465.4580972166832, 0.015074529059662983
471.78550969826347, 0.015056053348653295
478.7555995585276, 0.016830062218630364
485.54810751152377, 0.01766113606561388
492.4092266559643, 0.01995354698065983
489.3891959822298, 0.018661262148220132
498.55598221889545, 0.02430117318252115
497.71132246964874, 0.0219485195293227
504.2004361606063, 0.02650935809967114
508.7585210673245, 0.030483676092702052
514.401752405875, 0.03431319119820035
517.5254820489515, 0.03812491085166061
521.869156982406, 0.0410367307368382
526.6562404355367, 0.04556064290138495
528.8907773068327, 0.04676269116170528
532.6428293189638, 0.047360709326005654
535.3598325001623, 0.04858174026221521
539.6725359623821, 0.05038696326676155
545.9259559826007, 0.055087776267032894
543.2576446146854, 0.05254157252324443
553.0203531779523, 0.06356863028621561
550.2278334208802, 0.05805232540922281
559.0306935484823, 0.06693875523790488
556.5842692981887, 0.06413621424146741
566.7563137051224, 0.0709435491161903
564.0285983250017, 0.06785457795216623
573.6765440298843, 0.08077816577634345
571.1350989139407, 0.07467454976854615
581.3183308446406, 0.10080208098192325
577.2034668571057, 0.08697963416616228
584.4141563331818, 0.11188460051003565
579.9707849120301, 0.09393840032131273
588.6489769725179, 0.13245588018460033
587.1299422190483, 0.12049869951954215
594.8964362586709, 0.17113520831003026
599.3077647211583, 0.21829048166970116
592.8940790755048, 0.14985548491553055
598.0010535137783, 0.20164665076897448
597.236414984094, 0.18266825046277774
605.8792727066156, 0.25440333446492236
602.1474712718301, 0.23186556400714425
612.2337717142302, 0.2782913280606109
619.5869311173149, 0.2927746401514403
625.9266052067778, 0.2939867151620995
633.2996693950728, 0.30887615748795855
639.5116211127702, 0.30955963596073655
646.3929200194003, 0.3199913535100745
652.9634505883116, 0.3341686380818839
659.8891449717587, 0.37712799076504055
667.134486788288, 0.3964640299713127
673.7100118483412, 0.40710536945803943
680.4442507380152, 0.4241591263840726
687.0591767837434, 0.45418209648578356
693.6158337661494, 0.476794615164142
699.1172174251769, 0.547046676629163
704.1796240992014, 0.6102004806116977
696.5808608712589, 0.5075205466781221
707.4810961195489, 0.6723694482863273
710.1521988042471, 0.7532241128614253
713.7440294562284, 0.8542644470552806
716.4933779133935, 0.9385825597367622
719.0809999907253, 1.033323660027845
722.3424819840291, 1.1130329587507088
724.0406089722782, 1.221003841524304
726.53119522171, 1.384615332759211
731.8242166520098, 1.6874152132138445
730.2971823670713, 1.5127336388666082
737.1218440016811, 2.078310770688556
733.9450107121988, 1.8676906133102484
742.6095102067316, 2.230181978502492
747.8395737548175, 2.3185911840422113
751.7793611634097, 2.381787499221205
756.493702525482, 2.442872798257934
761.6606530196415, 2.45004422144011
765.7363825228852, 2.4326743846716266
769.1966883664929, 2.3831501171590754
773.0976108550282, 2.4222048210447116
776.4965428812568, 2.3534085864261507
781.3698187484138, 2.3208828808933823
783.4682714870016, 2.22321694573961
787.8093553203921, 2.2086038690934693
790.594261448478, 2.106657927026747
795.2590256915713, 2.067669367424766
797.7290285835699, 1.9613631145656516
