wavelength (nm), epsilon_a (1e5 M^-1 cm^-1) (K. Mishra et al. Multiplexed whole-animal imaging with reversibly switchable optoacoustic proteins. 2020)
538.4615384615386, 0.04292207792207803
551.9953730480047, 0.042077922077921937
565.5292076344709, 0.04587662337662324
579.0630422209371, 0.07711038961038952
592.5968768074032, 0.11990909090909119
606.1307113938693, 0.1823766233766233
616.281087333719, 0.2405312868949232
626.9441085230561, 0.314203069657615
636.3562753036439, 0.39054545454545453
647.1659919028342, 0.436720779220779
661.2124717387877, 0.5097520661157027
656.2753036437249, 0.46051948051948055
665.5829133272742, 0.5833024118738404
670.4164256795838, 0.6422727272727271
674.9277038750726, 0.7074837662337661
681.6946211683056, 0.7731168831168831
686.2058993637942, 0.8423376623376622
691.218430692115, 0.9160606060606059
695.2284557547717, 0.9917532467532466
704.598033545402, 1.0037662337662336
711.3128976286872, 0.8430779220779224
713.3851111294724, 0.7604638218923934
715.615962984384, 0.6802597402597401
708.5020242914981, 0.924155844155844
719.1382301908619, 0.5982077922077922
720.3627199867802, 0.5232467532467532
723.9365897260637, 0.43161747343565504
726.2521688837472, 0.35205194805194795
728.6371523213628, 0.2782880755608026
733.2272990167722, 0.20500000000000007
740.5068615594927, 0.14142857142857146
749.4939271255058, 0.11250000000000004
761.2492770387508, 0.08610389610389624
773.3429728166574, 0.06202597402597387
783.0248698669758, 0.04339285714285701
792.1837560935306, 0.0251020408163265
803.7246963562756, 0.01118181818181796
816.0290836982568, 0.003951762523191071
829.4389820705613, 0.0015584415584415368
843.7784020490791, 0.004675324675324832
851.9953730480048, 0.011688311688311526
