Wavelength(nm)	Ua(SO2>98)(1/mm) Ua(SO2=0)(1/mm) Us(SO2>98)(1/mm) g(SO2>98)
920 0.57 0.47 67.54 0.9819
925 0.65 0.46 67.24 0.9818
930 0.65 0.45 66.86 0.9815
935 0.65 0.44 66.42 0.9812
940 0.65 0.43 66.08 0.9811
945 0.65 0.41 65.67 0.9810
950 0.65 0.39 65.21 0.9808
955 0.65 0.38 64.78 0.9805
960 0.66 0.36 64.38 0.9801
965 0.68 0.34 63.95 0.9800
970 0.69 0.32 63.58 0.9799
975 0.69 0.31 63.20 0.9798
980 0.68 0.29 62.68 0.9798
985 0.67 0.26 62.27 0.9798
990 0.66 0.25 62.09 0.9798
995 0.65 0.23 62.00 0.9800
1000 0.64 0.22 61.83 0.9801
1005 0.66 0.31 61.69 0.9801
1010 0.65 0.28 61.62 0.9801
1015 0.63 0.28 61.57 0.9800
1020 0.61 0.28 61.46 0.9800
1025 0.60 0.27 61.18 0.9800
1030 0.58 0.24 60.85 0.9800
1035 0.56 0.24 60.49 0.9800
1040 0.53 0.23 60.35 0.9800
1045 0.50 0.22 60.31 0.9800
1050 0.49 0.22 60.15 0.9800
1055 0.48 0.22 59.87 0.9800
1060 0.46 0.21 59.53 0.9799
1065 0.45 0.20 59.26 0.9799
1070 0.42 0.19 59.04 0.9799
1075 0.40 0.19 58.73 0.9800
1080 0.37 0.18 58.34 0.9802
1085 0.35 0.17 58.08 0.9801
1090 0.34 0.17 57.98 0.9802 
1095 0.34 0.16 57.89 0.9804
1100 0.35 0.15 57.81 0.9797
1105 0.33 0.15 57.58 0.9834
1110 0.33 0.16 57.66 0.9832
1115 0.33 0.15 57.67 0.9832
1120 0.31 0.14 57.72 0.9832
1125 0.32 0.14 57.53 0.9829
1130 0.31 0.13 57.26 0.9828
1135 0.32 0.15 57.78 0.9832
1140 0.32 0.16 57.93 0.9835
1145 0.29 0.18 57.72 0.9834
1150 0.30 0.19 57.51 0.9832
1155 0.31 0.21 57.33 0.9830
1160 0.32 0.21 57.05 0.9829
1165 0.32 0.21 56.82 0.9828
1170 0.32 0.21 56.55 0.9827
1175 0.32 0.21 56.21 0.9827
1180 0.33 0.21 55.55 0.9827
1185 0.33 0.21 55.41 0.9827 
1190 0.34 0.21 55.48 0.9827
1195 0.35 0.20 55.37 0.9827
1200 0.36 0.20 55.20 0.9826
1205 0.37 0.20 55.16 0.9826
1210 0.20 0.20 50.16 0.9784
1215 0.20 0.20 49.98 0.9784
1220 0.20 0.19 49.81 0.9784
1225 0.19 0.19 49.43 0.9784
1230 0.18 0.17 49.21 0.9784
1235 0.18 0.17 49.25 0.9784
1240 0.18 0.17 49.19 0.9783
1245 0.18 0.17 47.97 0.9782
1250 0.17 0.17 47.51 0.9781
1255 0.17 0.17 48.18 0.9781
1260 0.17 0.17 48.64 0.9783
1265 0.17 0.15 47.36 0.9781
1270 0.15 0.14 46.50 0.9775
1275 0.16 0.15 47.09 0.9774
1280 0.18 0.16 47.91 0.9778
1285 0.17 0.16 47.13 0.9778
1290 0.16 0.16 46.21 0.9778
1295 0.18 0.18 45.77 0.9778
1300 0.19 0.20 45.36 0.9779
