wavelength (nm), mu_a (mm^-1) Hanna Jonasson et al. 2022. Water and hemoglobin modulated gelatin-based phantoms to spectrally mimic inflamed tissue in the validation of biomedical techniques and the modeling of microdialysis data
465.05804238244514, 0.00036461335448650933
469.0986372413794, 0.00036461335448650933
473.1392321003135, 0.00036461335448650933
477.17982695924763, 0.00036461335448650933
481.2204218181819, 0.00036461335448650933
485.261016677116, 0.0002977864961971055
489.3016115360502, 0.00016413277961832562
493.3422063949844, 0.00016413277961832562
497.3828012539185, 0.0000973059213289218
501.4233961128527, 0.00009897020204377438
505.46399097178687, 0.00009897020204377438
509.504585830721, 0.00009897020204377438
513.5451806896551, 0.00009897020204377438
517.5857755485894, 0.00009897020204377438
521.6263704075235, 0.00009897020204377438
525.6669652664577, 0.00009897020204377438
529.7075601253919, 0.00009897020204377438
533.748154984326, 0.00009897020204377438
537.7887498432602, 0.00009897020204377438
541.8293447021944, 0.00009897020204377438
545.8699395611286, 0.00009897020204377438
549.9105344200627, 0.00009897020204377438
553.9511292789969, 0.00009897020204377438
557.991724137931, 0.00009897020204377438
562.0323189968652, 0.00009897020204377438
566.0729138557995, 0.00009897020204377438
570.1135087147336, 0.00009897020204377438
574.1541035736677, 0.00009897020204377438
578.1946984326019, 0.00009897020204377438
582.2352932915361, 0.00023262391862255427
586.2758881504702, 0.00016413277961832562
590.3164830094045, 0.00036461335448650933
594.3570778683386, 0.00036461335448650933
598.3976727272727, 0.00036461335448650933
602.4382675862068, 0.00036461335448650933
606.4788624451411, 0.00036461335448650933
610.5194573040753, 0.00036461335448650933
614.5600521630095, 0.00036461335448650933
618.6006470219436, 0.00036461335448650933
622.6412418808777, 0.00036461335448650933
626.6818367398118, 0.00036461335448650933
630.7224315987461, 0.00036461335448650933
634.7630264576803, 0.00036461335448650933
638.8036213166145, 0.00036461335448650933
642.8442161755486, 0.00036461335448650933
646.8848110344827, 0.00036461335448650933
650.925405893417, 0.0004982670710652892
654.9660007523512, 0.000565093929354693
659.0065956112853, 0.000565093929354693
663.0471904702194, 0.000565093929354693
667.0877853291536, 0.0007655745042228768
671.1283801880877, 0.0007655745042228768
675.168975047022, 0.0007655745042228768
679.2095699059562, 0.0007655745042228768
683.2501647648903, 0.0007655745042228768
687.2907596238244, 0.0007655745042228768
691.3313544827586, 0.0007655745042228768
695.3719493416928, 0.0008992282208016567
699.4125442006269, 0.0009660550790910327
703.4531390595612, 0.0010997087956698126
707.4937339184953, 0.0011665356539592164
711.5343287774294, 0.0011665356539592164
715.5749236363636, 0.0011665356539592164
719.6155184952978, 0.0012333625122486203
723.656113354232, 0.00150066994540618
727.6967082131662, 0.0015674968036955839
731.7373030721003, 0.0016343236619849877
735.7778979310344, 0.0018348042368531714
739.8184927899687, 0.0019684579534319513
743.8590876489028, 0.0019684579534319513
747.899682507837, 0.0019684579534319513
751.9402773667712, 0.002102111670010731
755.9808722257053, 0.002168938528300135
760.0214670846394, 0.002168938528300135
764.0620619435737, 0.002302592244878915
768.1026568025079, 0.0023694191031683187
772.143251661442, 0.002168938528300135
776.1838465203762, 0.002168938528300135
780.2244413793103, 0.002168938528300135
784.2650362382445, 0.0019684579534319513
788.3056310971787, 0.0019684579534319513
792.3462259561129, 0.0019684579534319513
796.386820815047, 0.0019684579534319513
800.4274156739812, 0.0019684579534319513
804.4680105329153, 0.0019684579534319513
808.5086053918495, 0.0019684579534319513
812.5492002507838, 0.0019684579534319513
816.5897951097179, 0.0019684579534319513
820.630389968652, 0.0019684579534319513
824.4016118369906, 0.0023293229881946598
828.7115796865204, 0.0023694191031683187
833.0888907836991, 0.0025698996780365024
836.7927694043888, 0.002770380252904686
840.8333642633229, 0.0032381682609304574
839.4864993103448, 0.002770380252904686
844.873959122257, 0.0031212212589240007
848.9145539811913, 0.0034386488357986134
852.9551488401254, 0.0033049951192198335
856.9957436990595, 0.003705956268956201
861.0363385579938, 0.003705956268956201
865.0769334169279, 0.003772783127245577
869.117528275862, 0.0040400905604031645
873.1581231347963, 0.0040400905604031645
877.1987179937304, 0.004374224851850128
881.2393128526645, 0.004507878568428908
885.2799077115988, 0.004574705426718312
889.3205025705329, 0.004574705426718312
893.3610974294671, 0.004441051710139532
897.4016922884013, 0.004173744276981944
901.4422871473354, 0.003973263702113761
905.4828820062696, 0.004441051710139532
909.5234768652037, 0.005176147151322863
913.5640717241379, 0.00557710830105923
916.931234106583, 0.0063790306005319375
920.2983964890282, 0.007515087191451636
923.6655588714733, 0.008283596061779669
926.3592887774295, 0.00888503778638422
928.3795862068965, 0.010121334664737996
932.1508080752351, 0.010869795477579214
935.1139109717868, 0.012543808277728538
937.1342084012539, 0.014097532732956941
939.154505830721, 0.015601137044468305
941.3992807523512, 0.017405462218281945
944.5419656426332, 0.019543921683542534
943.8685331661442, 0.018207384517754666
945.8888305956112, 0.021080939424198614
947.2356955485893, 0.022751610881433446
948.5825605015674, 0.024372162194951252
949.9294254545455, 0.026159780654192527
955.9903177429467, 0.03775424056740237
957.3371826959248, 0.04036048804068873
956.6637502194358, 0.03885688372917738
958.6840476489028, 0.04306697580140918
958.0106151724137, 0.04166361177733191
960.0309126018809, 0.045773463562129635
959.3574801253918, 0.044470339825486455
961.3777775548589, 0.048179230460547826
960.7043450783699, 0.046876106723904645
962.724642507837, 0.049682834772059176
965.4183724137931, 0.050785477933834186
966.7652373667711, 0.052088601670477366
969.2344897805642, 0.05369244626942281
971.9282196865204, 0.055964559451262205
973.7240396238244, 0.05756840405020766
976.8667245141065, 0.058503980066259176
979.5604544200627, 0.05730109661705009
