wavelength (nm), epsilon_a (1e5 M^-1 cm^-1) (K. Mishra et al. Multiplexed whole-animal imaging with reversibly switchable optoacoustic proteins. 2020)
538.4615384615386, 0.033636363636363464
551.9953730480047, 0.03194805194805195
564.4013880855987, 0.0401785714285714
579.9652978600348, 0.050181818181818105
591.92018507808, 0.06942857142857117
606.2332404437669, 0.09917355371900816
620.2718334297284, 0.15076839826839827
631.4553867185449, 0.20968122786304577
643.3566433566435, 0.2606493506493508
653.5425101214577, 0.32761363636363616
662.5216888374786, 0.39328051948051934
671.197223828803, 0.4648733766233766
680.393290919607, 0.5393939393939394
688.4615384615387, 0.617229437229437
699.1245596508758, 0.6733530106257377
712.1457489878545, 0.7174025974025974
725.6795835743206, 0.7748051948051946
737.9042010620964, 0.8211216056670602
752.3713128976291, 0.8603896103896106
765.4755019416674, 0.8170129870129869
767.3395026026607, 0.7298961038961038
771.2757167644387, 0.6491465677179962
776.4314632735687, 0.5878246753246752
779.8149219201854, 0.5004545454545453
782.6344707923657, 0.42194805194805185
787.4590321958746, 0.3442857142857141
790.6593406593405, 0.26722402597402595
795.1706188548293, 0.20246753246753246
800.5841526894156, 0.1276753246753244
808.9994216310005, 0.07235064935064917
819.5141700404862, 0.03954545454545455
829.4389820705613, 0.015438311688311668
842.9728166570275, 0.011688311688311526
853.123192596877, 0.010337662337662312
