wavelength (nm), epsilon_a (1e5 M^-1 cm^-1) (K. Mishra et al. Multiplexed whole-animal imaging with reversibly switchable optoacoustic proteins. 2020)
538.1385281385282, 0.024001302648718914
547.1428571428572, 0.025271385149804537
556.1471861471862, 0.03162179765523221
565.1515151515152, 0.04305254016500215
574.1558441558442, 0.04940295267042982
583.1601731601731, 0.06972427268779846
620.3030303030304, 0.2606600086843247
629.3073593073593, 0.3368649587494572
637.1861471861472, 0.4062961354754666
652.9437229437231, 0.4545592705167172
664.8744588744589, 0.5129830655666521
673.2034632034632, 0.5917281806339556
677.7056277056278, 0.6730134607034303
681.0822510822511, 0.756838905775076
685.5844155844156, 0.8355840208423794
690.0865800865802, 0.9227963525835866
694.5887445887446, 0.9968844984802431
699.0909090909091, 1.078593139383413
709.2207792207793, 1.0514980460269214
712.5974025974026, 0.9651324359531046
718.2251082251082, 0.7212765957446807
720.4761904761905, 0.6374511506730351
721.6017316017317, 0.5519322622666086
723.8528138528138, 0.47064698219713397
726.1038961038962, 0.3876682587928788
728.3549783549784, 0.301302648719062
731.7316017316018, 0.21832392531480682
735.1082251082252, 0.1404255319148937
741.861471861472, 0.06760746851932242
758.7445887445888, 0.02146113764654789
778.9177489177489, 0.01042118975249684
794.7619047619048, 0.004298740772904708
810.952380952381, 0.0002605297438125209
821.7748917748918, 0.0010421189752498616
831.4545454545455, 0.0019800260529745373
839.7835497835498, 0.0032403386886670216
846.5367965367966, 0.002800694745983545
715.4545454545455, 0.8963525835866261
716.6666666666667, 0.819756838905775
611.2121212121212, 0.19604863221884505
599.0909090909091, 0.13039513677811532
591.8181818181819, 0.09209726443769006
